ClientId,isMale,Birthday,Age,SkillsAcquired,HighestLevel,DateAdded
1300389,Female,2/22/1958,66,computer literate,High School Graduate,6/13/2022
1310732,Female,12/27/1958,66,Computer Literate,High School Graduate,8/17/2022
1310743,Female,6/18/1958,66,Computer Literate,High School Graduate,8/17/2022
1310840,Female,1/28/1958,66,Computer Literate,Elementary Graduate,8/18/2022
1311330,Female,8/25/1958,66,Computer Literate,High School Graduate,8/31/2022
1312075,Female,1/30/1958,66,Computer Literate,High School Graduate,9/12/2022
1328413,Male,9/26/1958,66,Housekeeping,College Graduate,2/8/2023
1333313,Male,2/8/1958,66,Carpenter,Elementary Graduate,4/12/2023
1347291,Male,6/14/1958,66,Mason,High School Graduate,8/10/2023
1349819,Male,1/7/1958,66,Computer Literate,College Graduate,9/15/2023
1350929,Female,11/29/1958,66,Computer Literate,College Graduate,9/26/2023
1351582,Male,4/22/1958,66,Computer Literate,College Level,10/5/2023
1351774,Female,10/24/1958,66,Computer Literate,High School Graduate,10/6/2023
1356148,Male,2/27/1958,66,Computer Literate,College Graduate,11/20/2023
1358416,Male,9/30/1958,66,Leadman,College Graduate,12/14/2023
1361132,Male,11/4/1958,66,Housekeeping,College Graduate,1/22/2024
1017483,Male,7/19/1959,65,Service Crew/Food Server,High School Graduate,11/14/2019
1017595,Female,10/2/1959,65,Computer Literate,College Graduate,11/19/2019
1017865,Female,3/25/1959,65,Housekeeping,High School Graduate,11/22/2019
1020449,Male,8/17/1959,65,Data Encoder,College Graduate,1/6/2020
1020535,Female,11/15/1959,65,Housekeeping,High School Graduate,1/10/2020
1020718,Male,11/4/1959,65,Able Seaferer Engine,Vocational Graduate,1/16/2020
1020793,Male,3/29/1959,65,Housekeeping,College Graduate,1/17/2020
1021470,Male,7/15/1959,65,Security Guard,High School Graduate,1/29/2020
1026761,Male,7/16/1959,65,Driving,College Graduate,7/7/2020
1110540,Male,6/18/1959,65,computer literate,College Graduate,2/22/2021
1113180,Female,11/23/1959,65,Trimmer,College Level,3/4/2021
1114263,Female,3/6/1959,65,Computer Literate,College Level,3/5/2021
1114375,Female,7/1/1959,65,Supervising Skills,College Level,3/5/2021
1114375,Female,7/1/1959,65,Badminton Skills,College Level,3/5/2021
1131998,Female,11/23/1959,65,HOUSEKEEPING,College Level,4/27/2021
1212357,Female,10/5/1959,65,Housekeeping,High School Graduate,8/26/2021
1213338,Male,11/21/1959,65,Housekeeping,High School Graduate,8/27/2021
1274351,Male,2/26/1959,65,COMPUTER LITERATE,College Graduate,12/4/2021
1282778,Male,4/20/1959,65,Computer Literate,College Graduate,12/20/2021
1291808,Female,4/20/1959,65,Computer Literate,College Graduate,2/14/2022
1298764,Female,2/3/1959,65,Housekeeping,High School Graduate,5/13/2022
1299244,Male,7/7/1959,65,Computer Literate,High School Graduate,5/20/2022
1299852,Male,11/9/1959,65,Computer Literate,College Level,6/1/2022
1300121,Female,7/16/1959,65,Laborer,High School Level,6/8/2022
1300176,Female,7/16/1959,65,computer literate,High School Level,6/9/2022
1300203,Female,4/25/1959,65,computer literate,College Level,6/9/2022
1300399,Female,12/15/1959,65,computer literate,High School Graduate,6/13/2022
1300554,Male,11/5/1959,65,Computer Literate,College Level,6/14/2022
1301361,Male,4/7/1959,65,Computer Literate,Vocational Level,6/29/2022
1309017,Female,2/3/1959,65,Housekeeping,College Graduate,8/9/2022
1310620,Female,3/17/1959,65,Computer Literate ,High School Graduate,8/17/2022
1310660,Female,8/15/1959,65,Computer Literate,Elementary Level,8/17/2022
1310696,Female,4/14/1959,65,Computer Literate,Vocational Graduate,8/17/2022
1310827,Female,8/1/1959,65,Computer Literate,College Graduate,8/18/2022
1310841,Female,10/15/1959,65,manufacturing,College Graduate,8/18/2022
1311311,Female,1/29/1959,65,Computer Literate,High School Graduate,8/31/2022
1311331,Female,11/5/1959,65,Computer Literate,College Graduate,8/31/2022
1311921,Male,11/12/1959,65,Computer Literate,High School Graduate,9/8/2022
1312100,Female,8/26/1959,65,Computer Literate,High School Graduate,9/12/2022
1312252,Male,7/22/1959,65,Computer Literate,High School Graduate,9/12/2022
1312519,Male,10/5/1959,65,Computer Literate,High School Level,9/14/2022
1327852,Male,1/11/1959,65,Computer Literate,College Level,2/2/2023
1327872,Male,3/24/1959,65,Computer Literate,College Graduate,2/2/2023
1328421,Female,7/27/1959,65,Housekeeping,College Level,2/8/2023
1328601,Male,1/26/1959,65,Computer Literate,College Graduate,2/10/2023
1329126,Male,11/8/1959,65,Computer Literate,College Graduate,2/17/2023
1329280,Male,9/8/1959,65,Computer Literate,High School Graduate,2/20/2023
1329865,Male,4/26/1959,65,Computer Literate,Elementary Level,2/27/2023
1329889,Male,12/28/1959,65,Computer Literate,High School Level,2/28/2023
1333147,Male,2/11/1959,65,Laborer,High School Level,4/3/2023
1339662,Male,3/3/1959,65,Mason,Elementary Graduate,5/17/2023
1347399,Male,12/23/1959,65,Mason,High School Graduate,8/10/2023
1348732,Female,10/21/1959,65,Computer Literate,College Level,8/31/2023
1350966,Male,12/28/1959,65,Mason,High School Graduate,9/27/2023
1350967,Male,10/5/1959,65,Computer Literate,College Graduate,9/27/2023
1354813,Male,1/30/1959,65,Computer Literate,College Graduate,10/26/2023
1017864,Female,4/13/1960,64,Housekeeping,High School Graduate,11/22/2019
1059172,Male,4/15/1960,64,Computer Literate,College Graduate,10/29/2020
1115593,Female,8/8/1960,64,Computer literate,Vocational Graduate,3/8/2021
1153115,Female,10/24/1960,64,Data Encoder,High School Graduate,5/27/2021
1165169,Female,1/2/1960,64,Field Worker,College Graduate,6/16/2021
1212360,Male,8/3/1960,64,Housekeeping,College Graduate,8/26/2021
1212391,Female,7/21/1960,64,Housekeeping,High School Graduate,8/26/2021
1212413,Male,3/3/1960,64,,College Graduate,8/26/2021
1274394,Female,7/27/1960,64,Computer Literate,College Graduate,12/4/2021
1274495,Female,8/1/1960,64,Computer Literate,High School Graduate,12/4/2021
1274606,Female,7/14/1960,64,Computer Literate,College Graduate,12/4/2021
1274777,Male,9/10/1960,64,COMPUTER LITERATE ,College Graduate,12/4/2021
1274814,Female,12/18/1960,64,COMPUTER LITERATE ,High School Level,12/4/2021
1299853,Male,2/14/1960,64,Computer Literate,College Level,6/1/2022
1310535,Female,9/30/1960,64,Computer Literate ,High School Graduate,8/17/2022
1310539,Female,11/24/1960,64,COOKING,College Level,8/17/2022
1310545,Female,1/4/1960,64,Computer Literate ,College Graduate,8/17/2022
1310557,Female,10/13/1960,64,seller,Elementary Graduate,8/17/2022
1311264,Female,8/22/1960,64,Computer Literate,High School Graduate,8/31/2022
1311414,Female,12/23/1960,64,Computer Literate,College Level,9/2/2022
1312271,Female,2/6/1960,64,Computer Literate,High School Graduate,9/12/2022
1312447,Female,3/14/1960,64,Computer Literate,High School Level,9/13/2022
1328885,Male,10/4/1960,64,Computer Literate,College Level,2/15/2023
1328967,Female,11/14/1960,64,Housekeeping,High School Level,2/16/2023
1330013,Female,3/7/1960,64,Computer Literate,Elementary Graduate,3/2/2023
1330014,Female,2/23/1960,64,Computer Literate,Elementary Graduate,3/2/2023
1330747,Male,9/2/1960,64,Computer Literate,Elementary Graduate,3/10/2023
1333228,Male,8/10/1960,64,Computer Literate,College Graduate,4/4/2023
1333261,Male,10/11/1960,64,Carpenter,Elementary Graduate,4/5/2023
1339764,Male,12/25/1960,64,Carpenter,High School Graduate,5/17/2023
1347047,Female,8/20/1960,64,Computer Literate,College Graduate,8/8/2023
1349220,Female,6/12/1960,64,Computer Literate,College Graduate,9/9/2023
1349588,Male,7/7/1960,64,Mason,High School Graduate,9/12/2023
1349649,Male,2/21/1960,64,Computer Literate,College Graduate,9/13/2023
1350933,Female,10/13/1960,64,Computer Literate,College Graduate,9/26/2023
1352350,Male,7/9/1960,64,Computer Literate,College Graduate,10/13/2023
1353490,Female,10/2/1960,64,Computer literate,College Graduate,10/20/2023
1000025,Male,8/28/1961,63,Welder,High School Graduate,11/6/2018
1011507,Male,1/1/1961,63,Welder,College Graduate,10/1/2019
1017487,Female,12/18/1961,63,Caregiver/Housekeeping,High School Graduate,11/14/2019
1017990,Male,8/27/1961,63,Electrician,Vocational Graduate,12/4/2019
1020149,Male,3/21/1961,63,Electronic`,College Graduate,12/11/2019
1020804,Male,1/1/1961,63,Welder,College Graduate,1/20/2020
1021842,Female,2/18/1961,63,Maintenance,College Level,2/11/2020
1022133,Male,6/17/1961,63,Housekeeping,High School Graduate,2/19/2020
1062427,Male,10/29/1961,63,cooking,High School Graduate,11/16/2020
1113099,Female,4/10/1961,63,teaching,College Graduate,3/3/2021
1114399,Female,10/14/1961,63,housekeeping,Vocational Graduate,3/5/2021
1133087,Female,5/8/1961,63,Farmer,Elementary Graduate,4/29/2021
1213330,Female,9/1/1961,63,Housekeeping,High School Graduate,8/27/2021
1250643,Female,5/31/1961,63,computer literate,High School Graduate,10/29/2021
1261767,Female,8/26/1961,63,Statistician,College Graduate,11/18/2021
1270823,Male,9/21/1961,63,Farmer,High School Graduate,12/1/2021
1270841,Female,12/14/1961,63,COMPUTER LITERATE,Vocational Graduate,12/1/2021
1270845,Male,12/18/1961,63,Farmer,College Level,12/1/2021
1274477,Male,2/1/1961,63,Computer literate,College Level,12/4/2021
1274590,Female,5/30/1961,63,Computer Literate,High School Graduate,12/4/2021
1282764,Female,1/1/1961,63,Computer Literate,Vocational Graduate,12/18/2021
1298774,Female,7/27/1961,63,Housekeeping,High School Graduate,5/13/2022
1300247,Male,1/5/1961,63,computer literate,High School Graduate,6/9/2022
1308625,Male,10/24/1961,63,Computer Literate,College Graduate,8/3/2022
1310647,Male,7/16/1961,63,Computer Literate,Elementary Graduate,8/17/2022
1310741,Female,1/18/1961,63,Computer Literate,College Graduate,8/17/2022
1310770,Female,3/14/1961,63,Computer Literate,College Graduate,8/18/2022
1310997,Female,11/26/1961,63,Computer Literate,Elementary Graduate,8/25/2022
1311263,Female,11/12/1961,63,Computer Literate,College Graduate,8/31/2022
1311423,Female,7/20/1961,63,Computer Literate,High School Graduate,9/2/2022
1311963,Female,8/27/1961,63,Computer Literate,High School Graduate,9/8/2022
1312131,Female,2/28/1961,63,Computer Literate,High School Graduate,9/12/2022
1316268,Male,6/22/1961,63,Computer Literate,Vocational Graduate,10/4/2022
1322825,Female,4/9/1961,63,Housekeeping,College Level,11/24/2022
1324067,Male,2/28/1961,63,Computer lIterate,College Graduate,12/6/2022
1324327,Male,5/2/1961,63,Computer Literate,College Graduate,12/15/2022
1324343,Male,12/21/1961,63,Electrician,Vocational Graduate,12/16/2022
1327837,Male,8/16/1961,63,Computer Literate,College Graduate,2/2/2023
1328804,Male,10/31/1961,63,Computer Litertate,High School Graduate,2/13/2023
1329899,Male,8/3/1961,63,Computer Literate,High School Level,2/28/2023
1334098,Female,10/3/1961,63,Computer Literate,College Graduate,4/24/2023
1334123,Male,3/9/1961,63,Computer Literate,High School Level,4/25/2023
1334199,Male,6/3/1961,63,Auto Mechanic,Vocational Graduate,4/25/2023
1343471,Male,4/1/1961,63,Civil,College Graduate,7/10/2023
1350792,Male,6/3/1961,63,Computer Literate,College Graduate,9/25/2023
1350870,Female,7/3/1961,63,Computer Literate,College Graduate,9/26/2023
1350921,Female,10/15/1961,63,Computer Literate,College Graduate,9/26/2023
1351618,Male,11/16/1961,63,Computer Literate,College Graduate,10/5/2023
1357275,Male,9/15/1961,63,Housekeeping,High School Level,11/24/2023
1357894,Male,7/15/1961,63,Computer Literate,Vocational Graduate,12/6/2023
1358412,Male,12/23/1961,63,Electrical,College Graduate,12/14/2023
1358454,Male,11/12/1961,63,Foreman,High School Graduate,12/18/2023
1362019,Female,4/27/1961,63,Computer Literate,College Graduate,2/5/2024
1004308,Male,7/16/1962,62,Communication Skills,High School Graduate,5/27/2019
1009150,Male,6/26/1962,62,Computer Literate,College Graduate,9/10/2019
1017383,Female,1/1/1962,62,Typing,Vocational Graduate,11/12/2019
1020717,Male,11/4/1962,62,SMAW II,Vocational Graduate,1/16/2020
1020788,Female,7/3/1962,62,Manicurist,College Level,1/17/2020
1020789,Female,7/24/1962,62,Housekeeping,College Graduate,1/17/2020
1021481,Male,10/22/1962,62,Electrician,College Graduate,1/30/2020
1022287,Male,5/7/1962,62,Electrician,High School Graduate,2/27/2020
1025761,Male,9/14/1962,62,Computer Literate,College Level,7/6/2020
1052941,Male,7/16/1962,62,"Silk Screen Printer, Printing Die Maker& Rider",,10/9/2020
1058997,Female,10/5/1962,62,Auto Cad,College Graduate,10/27/2020
1064555,Male,4/25/1962,62,Contact Tracer,College Level,11/23/2020
1115636,Female,8/30/1962,62,gardening,High School Graduate,3/8/2021
1133066,Female,10/10/1962,62,Farmer,High School Graduate,4/29/2021
1134035,Male,6/17/1962,62,Farmer,Elementary Graduate,4/30/2021
1203231,Male,3/29/1962,62,Farmer,High School Graduate,8/4/2021
1212403,Female,11/7/1962,62,Housekeeping,High School Level,8/26/2021
1214348,Female,12/24/1962,62,Housekeeping,High School Graduate,8/31/2021
1250646,Female,5/21/1962,62,computer literate,College Graduate,10/29/2021
1274365,Male,10/6/1962,62,Computer Literate,High School Graduate,12/4/2021
1274366,Male,4/29/1962,62,Computer Literate,High School Level,12/4/2021
1274386,Male,5/16/1962,62,computer literate,College Level,12/4/2021
1274460,Female,10/21/1962,62,Computer Literate,High School Level,12/4/2021
1274567,Male,6/27/1962,62,COMPUTER LITERATE,High School Graduate,12/4/2021
1279541,Female,10/22/1962,62,COMPUTER LITERATE,High School Graduate,12/11/2021
1279556,Female,12/26/1962,62,COMPUTER LITERATE,College Graduate,12/11/2021
1279558,Female,1/15/1962,62,COMPUTER LITERATE,High School Graduate,12/11/2021
1279574,Female,7/4/1962,62,COMPUTER LITERATE,Vocational Level,12/11/2021
1279629,Female,5/6/1962,62,COMPUTER LITERATE,Elementary Graduate,12/11/2021
1282747,Female,1/29/1962,62,Computer Literate,Vocational Level,12/18/2021
1293908,Male,9/27/1962,62,Computer Literate,High School Graduate,3/7/2022
1294295,Male,8/2/1962,62,Carpenter,High School Graduate,3/15/2022
1299529,Male,8/14/1962,62,Computer Literate,College Graduate,5/27/2022
1300241,Male,9/2/1962,62,computer literate,High School Graduate,6/9/2022
1300514,Male,11/24/1962,62,Computer Literate,Vocational Graduate,6/14/2022
1305842,Male,8/14/1962,62,Computer Literate,College Level,7/12/2022
1305942,Male,1/10/1962,62,computer literate,College Level,7/14/2022
1310600,Female,8/17/1962,62,Computer Literate,High School Level,8/17/2022
1310605,Female,10/10/1962,62,Computer Literate ,High School Graduate,8/17/2022
1310613,Female,7/5/1962,62,Computer Literate ,High School Graduate,8/17/2022
1310708,Female,5/15/1962,62,Computer Literate,High School Graduate,8/17/2022
1310787,Male,8/18/1962,62,Computer Literate ,Elementary Level,8/18/2022
1311459,Female,4/17/1962,62,Computer Literate,College Level,9/2/2022
1311464,Male,3/15/1962,62,Computer Literate,College Graduate,9/5/2022
1312060,Female,3/20/1962,62,Computer Literate,High School Graduate,9/12/2022
1312091,Female,11/7/1962,62,Computer Literate,Vocational Level,9/12/2022
1312166,Male,7/12/1962,62,Computer Literate,High School Level,9/12/2022
1312405,Female,2/23/1962,62,Computer Literate,College Level,9/13/2022
1312448,Male,3/16/1962,62,Computer Literate,College Level,9/13/2022
1317866,Male,9/19/1962,62,Computer Literate,Vocational Graduate,10/14/2022
1326182,Male,3/30/1962,62,carpentry,High School Graduate,1/12/2023
1327398,Male,5/30/1962,62,Computer Literate,College Graduate,1/24/2023
1327836,Male,7/21/1962,62,Computer Literate,College Graduate,2/2/2023
1329175,Male,11/13/1962,62,Computer Literate,High School Graduate,2/17/2023
1330865,Male,11/19/1962,62,Cook,High School Graduate,3/13/2023
1331526,Male,9/13/1962,62,,High School Graduate,3/20/2023
1333090,Male,11/24/1962,62,Maintenanceman,College Graduate,3/31/2023
1333106,Male,10/31/1962,62,Laborer,College Graduate,3/31/2023
1333522,Male,2/20/1962,62,Electricical,College Graduate,4/13/2023
1333529,Female,11/14/1962,62,Computer Literate,College Graduate,4/13/2023
1335545,Male,9/7/1962,62,Computer Literate,College Level,4/28/2023
1339498,Male,5/22/1962,62,Computer Literate,High School Graduate,5/15/2023
1339798,Female,2/22/1962,62,Foreman,High School Graduate,5/18/2023
1341303,Male,8/26/1962,62,Project Engineer,College Graduate,6/7/2023
1345196,Male,1/12/1962,62,Computer Literate,High School Graduate,7/19/2023
1345590,Male,10/5/1962,62,Draftman,College Graduate,7/21/2023
1346550,Male,4/3/1962,62,,High School Graduate,8/4/2023
1346921,Male,4/20/1962,62,Welder,High School Graduate,8/8/2023
1350950,Male,7/15/1962,62,Mason,High School Level,9/27/2023
1352078,Male,5/20/1962,62,Computer literate,High School Graduate,10/11/2023
1355302,Female,4/5/1962,62,Computer Literate,College Graduate,11/9/2023
1355831,Male,2/24/1962,62,Computer Literate,High School Graduate,11/16/2023
1355867,Male,6/3/1962,62,Computer Literate,College Level,11/16/2023
1356093,Male,3/23/1962,62,Computer Literate,Vocational Graduate,11/20/2023
1366882,Male,2/23/1962,62,Mason,Elementary Graduate,2/23/2024
1366920,Male,9/13/1962,62,Mason,Elementary Graduate,2/26/2024
1369412,Male,10/12/1962,62,Comuputer Literate,College Graduate,3/12/2024
1369665,Male,6/3/1962,62,,College Graduate,3/19/2024
1369671,Female,7/6/1962,62,computer literate,College Graduate,3/19/2024
1005698,Male,6/2/1963,61,Financing,College Graduate,7/3/2019
1006638,Female,3/4/1963,61,Typing,College Graduate,7/26/2019
1020536,Female,8/9/1963,61,Manicure/Pedicure,High School Graduate,1/10/2020
1021426,Male,2/12/1963,61,Welder,College Graduate,1/27/2020
1021735,Female,6/18/1963,61,Housekeeping,High School Graduate,2/10/2020
1022140,Male,6/3/1963,61,Auto Denter,High School Graduate,2/20/2020
1025753,Female,7/27/1963,61,Care Giver,High School Graduate,7/6/2020
1041921,Female,11/8/1963,61,Data Encoder,College Graduate,9/15/2020
1045895,Male,8/18/1963,61,"computer literate, typing",College Graduate,9/25/2020
1114369,Female,3/8/1963,61,Baby Sitter,College Level,3/5/2021
1115652,Female,10/13/1963,61,Gardening,High School Graduate,3/8/2021
1116697,Female,10/16/1963,61,Housekeeping,High School Graduate,3/10/2021
1133041,Male,6/24/1963,61,Farmer,High School Graduate,4/29/2021
1203223,Male,3/29/1963,61,Farmer,High School Graduate,8/4/2021
1205213,Female,10/14/1963,61,Farmer,High School Graduate,8/6/2021
1211288,Female,3/18/1963,61,Farmer,High School Graduate,8/23/2021
1212401,Male,2/23/1963,61,Housekeeping,High School Graduate,8/26/2021
1228484,Male,4/1/1963,61,Computer Literate,College Graduate,9/24/2021
